area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560,3,3,76.66666667
Super built-up  Area,18-Apr,Laxmichhari,2 BHK,,1350,2,1,37.03333333
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,JRrnauv,1550,3,3,44.66666667
Super built-up  Area,18-Apr,Gopalpur,2 BHK,,1140,2,2,31
Plot  Area,Ready To Move,Srirampura,5 Bedroom,,1200,5,2,120
Super built-up  Area,18-Dec,Kodathi,2 BHK,,850,2,2,18
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,Gotis A,1280,2,2,50
Built-up  Area,Ready To Move,Satkania,2 BHK,,1170,2,2,34.66666667
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2,1,34
Super built-up  Area,Ready To Move,Ashasuni,2 BHK,Mileeou,1385,2,1,55.39333333
Super built-up  Area,18-Apr,Aditmari,2 BHK,Prarkun,1128,2,1,43.33333333
Plot  Area,Ready To Move,Amtali,2 Bedroom,,1200,2,2,85.33333333
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,,1200,4,3,110
Super built-up  Area,Ready To Move,Atwari,3 BHK,PhestOn,2390,3,2,276.6666667
Plot  Area,Ready To Move,Jhalakathi Sadar,4 Bedroom,,2400,4,1,266.6666667
Super built-up  Area,Ready To Move,Atpara,3 BHK,NRowse ,1464,3,2,37.33333333
Super built-up  Area,Ready To Move,Lalmohan,2 BHK,,1200,2,2,36.66666667
Super built-up  Area,Ready To Move,Fulchari,2 BHK,Abncy R,1200,2,2,34.66666667
Super built-up  Area,Ready To Move,Goalanda,3 BHK,Baowsig,1150,2,1,36.66666667
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3,2,63.33333333
Super built-up  Area,20-Mar,Adarsha Sadar,2 BHK,,1000,2,1,44.66666667
Plot  Area,Ready To Move,Atpara,4 Bedroom,,2650,4,2,132
Super built-up  Area,Ready To Move,Faridpur,2 BHK,HMinebo,1192,2,2,49.33333333
Super built-up  Area,Ready To Move,Fulpur,3 BHK,K borja,2135,3,2,143.3333333
Super built-up  Area,19-Dec,Abhaynagar,2 BHK,Oreldhi,1173,2,1,38.66666667
Built-up  Area,Ready To Move,Alfadanga,2 BHK,Sungspr,1020,2,2,30
Super built-up  Area,Ready To Move,Barhatta,4 BHK,Prtanha,3122,6,2,153.3333333
Super built-up  Area,Ready To Move,Daulatpur,3 BHK,,1600,3,3,42.66666667
Plot  Area,18-Mar,T.C Palya,2 Bedroom,,1200,2,0,52.66666667
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,,1230,2,3,32
Super built-up  Area,Ready To Move,Porsha,2 BHK,Clntsrt,1250,2,2,26.66666667
Super built-up  Area,Ready To Move,Chunarughat,2 BHK,PuamaPa,1325,2,2,50.66666667
Built-up  Area,Ready To Move,Ashuganj,3 BHK,Brngsal,1850,3,1,100
Super built-up  Area,21-Dec,Agailjhara,1 BHK,PrarePa,525,,,14.35333333
Super built-up  Area,Ready To Move,Gaffargaon,2 BHK,,1200,2,2,43.33333333
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,,1350,2,0,93.33333333
Super built-up  Area,18-Jun,Charfesson,3 BHK,SSestth,1260,3,1,32.90666667
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800,3,0,100
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,11,3,2,49.33333333
Built-up  Area,Ready To Move,Dupchanchia,2 BHK,Miwel M,1100,2,1,28.83333333
Super built-up  Area,Ready To Move,Bajitpur,2 BHK,SrEndPo,1508,2,1,51.33333333
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592,3,2,50
Super built-up  Area,Ready To Move,Barguna Sadar,2 BHK,SagasSa,1388,2,3,38
Super built-up  Area,18-May,Atrai,1 BHK,SNbay G,630,1,1,18.9
Plot  Area,Ready To Move,Rmv,3 Bedroom,,2000,3,2,243.3333333
Super built-up  Area,Ready To Move,Banashankari3Rd Stage Bigbazar,3 BHK,,1762,3,1,83.33333333
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,,950,2,2,33.33333333
Super built-up  Area,Ready To Move,Jaldhaka,4 BHK,Soianal,3252,5,3,223.3333333
Super built-up  Area,18-Aug,Digholia,2 BHK,Vrenty ,1116,2,1,33.33333333
Super built-up  Area,Ready To Move,Khoksa,2 BHK,AriosHe,1308,2,2,59.36
Super built-up  Area,Ready To Move,Ms Pallya,3 BHK,,1200,3,0,60
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,,1500,4,2,153.3333333
Built-up  Area,Ready To Move,Araihazar,1 BHK,,500,1,1,12.33333333
Super built-up  Area,Ready To Move,Bawphal,2 BHK,SLureSi,1075,2,1,34.66666667
Super built-up  Area,18-Mar,Austagram,1 BHK,Siissi ,530,1,0,7.773333333
Built-up  Area,Ready To Move,Babuganj,2 BHK,,1205,2,3,44
Super built-up  Area,Ready To Move,Chandanaish,2 BHK,Mangsr ,1075,2,2,40
Built-up  Area,Ready To Move,Badalgachi,2 BHK,HovasTe,930,2,2,26
Super built-up  Area,Ready To Move,Bhurungamari,2 BHK,Exncene,1380,2,1,40
Super built-up  Area,Ready To Move,Alikadam,4 BHK,Prersis,2483,5,2,141.3333333
Built-up  Area,Ready To Move,Kaptai,2 BHK,Shyas S,1166,2,2,36.66666667
Super built-up  Area,Ready To Move,Araihazar,2 BHK,NadelCi,1050,2,1,43.33333333
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3,2,183.3333333
Super built-up  Area,Ready To Move,Baghaichari,2 BHK,Dhalsh ,1200,2,2,31.2
Super built-up  Area,Ready To Move,Chatkhil,3 BHK,Puarent,1600,2,1,72
Super built-up  Area,Ready To Move,Golapganj,3 BHK,MaionPa,1935,3,2,73.33333333
Super built-up  Area,18-May,Barura,1 BHK,Maian M,451,1,0,19.93333333
Super built-up  Area,Ready To Move,Aditmari,3 BHK,ShstaAl,1800,3,2,63.33333333
Super built-up  Area,18-May,Belkuchi,3 BHK,Shard T,1400,3,0,51.33333333
Super built-up  Area,Ready To Move,Bhandaria,3 BHK,SoitaCa,1801,3,2,76.66666667
Built-up  Area,Ready To Move,Cox'S Bazar Sadar,2 BHK,Neagar ,1451,2,,60
Plot  Area,19-Jan,Chirirbandar,2 Bedroom,,1200,1,1,24
Super built-up  Area,Ready To Move,Baghaichari,2 BHK,Dhalsh ,1160,2,2,29.33333333
Built-up  Area,Ready To Move,Balaganj,2 BHK,,1000,2,1,16.66666667
Super built-up  Area,Ready To Move,Agailjhara,2 BHK,Wiowsri,950,2,1,26.66666667
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,,1629,3,2,52.66666667
Built-up  Area,Ready To Move,Boda,3 BHK,,1580,2,0,89.33333333
Super built-up  Area,21-Jun,Boda,3 BHK,Saityat,1826,3,2,80.66666667
Built-up  Area,Ready To Move,Ashuganj,2 BHK,Eladero,1245,2,1,62.66666667
Super built-up  Area,Ready To Move,Anwara,2 BHK,Lancyey,1145,2,2,30.52666667
Super built-up  Area,Ready To Move,Kawkhali,2 BHK,Suiseit,825,2,1,22
Super built-up  Area,18-Aug,Bagha,3 BHK,Aroomba,1693,3,3,72
Super built-up  Area,Ready To Move,Bagatipara,2 BHK,Courf T,1113.27,2,2,35.33333333
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,2,1,38.66666667
Built-up  Area,Ready To Move,Dacope,2 BHK,S onsMa,1050,2,1,21.33333333
Built-up  Area,Ready To Move,Daulatkhan,2 BHK,Tuentpa,1260,2,2,36.66666667
Super built-up  Area,Ready To Move,K N Extension,6 BHK,,700,3,,80
Built-up  Area,Ready To Move,Bhola Sadar,2 BHK,Tovesee,1656,2,1,80
Super built-up  Area,Ready To Move,Austagram,3 BHK,Vailsaf,1208,3,1,30
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,BrlisCo,1910,3,2,107.3333333
Super built-up  Area,Ready To Move,Abhaynagar,4 BHK,Haestt ,3252,4,1,153.3333333
Plot  Area,Ready To Move,Dohar,2 Bedroom,,1200,2,1,43.33333333
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,,1200,4,1,116.6666667
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,BriumMi,1175,2,1,54.66666667
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,,1000,2,0,110
Plot  Area,Ready To Move,Araihazar,4 Bedroom,,1200,2,0,83.33333333
Super built-up  Area,Ready To Move,Atwari,3 BHK,PhestOn,2390,3,2,273.3333333
Super built-up  Area,19-Jan,Atwari,7 BHK,,12000,6,3,1466.666667
Plot  Area,Ready To Move,Jhikargacha,2 Bedroom,,550,1,1,41.33333333
Super built-up  Area,Ready To Move,Balaganj,1 BHK,,34.46Sq. Meter,1,0,12.33333333
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185,2,,25.33333333
Super built-up  Area,Ready To Move,Balaganj,2 BHK,VBvenal,750,2,1,25.33333333
Plot  Area,Ready To Move,Kalaroa,6 Bedroom,,1200,7,3,166.6666667
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,JRrnauv,1550,3,3,43
Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760,3,2,58.66666667
Super built-up  Area,Ready To Move,Golapganj,2 BHK,Asity S,1125,2,2,41.33333333
Plot  Area,Ready To Move,Baralekha,3 Bedroom,,1350,3,2,100
Plot  Area,17-Dec,Delduar,2 Bedroom,,1000,2,1,36.66666667
Built-up  Area,18-Aug,Dhanbari,2 BHK,,1090,2,2,20.98666667
Plot  Area,Ready To Move,Barishal Sadar,2 Bedroom,,1200,2,0,40
Super built-up  Area,Ready To Move,Beanibazar,3 BHK,PrityTr,1991,4,2,68.66666667
Super built-up  Area,18-Oct,Charfesson,2 BHK,DSoodil,1060,2,1,17.66666667
Super built-up  Area,Ready To Move,Dhamoirhat,2 BHK,SJarkte,1105,2,1,50
Built-up  Area,Ready To Move,Bagerhat Sadar,2 BHK,Dhgraas,985,2,2,44.66666667
Plot  Area,Ready To Move,Austagram,6 Bedroom,,1533,5,3,56.66666667
Super built-up  Area,17-Jul,Bhurungamari,3 BHK,HiqueMa,1590,3,2,52.66666667
Super built-up  Area,Ready To Move,Birganj,2 BHK,Srshq T,1120,2,2,36.66666667
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2,1,36.66666667
Super built-up  Area,Ready To Move,Amtali,3 BHK,Prionad,1933,3,2,93.33333333
Built-up  Area,16-Mar,Bhola Sadar,2 BHK,PuendWe,1194,2,0,46
Super built-up  Area,Ready To Move,Bheramara,2 BHK,Danna S,1150,2,3,46
Super built-up  Area,Ready To Move,Kalapara,2 BHK,,1240,2,2,31.41333333
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1419,2,2,32.06666667
Plot  Area,Ready To Move,Ashuganj,8 Bedroom,,1200,8,,166.6666667
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150,4,,160
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450,3,2,36.66666667
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630,3,2,45.52666667
Super built-up  Area,Ready To Move,Homna,2 BHK,Tavenew,708,1,1,26.66666667
Plot  Area,Ready To Move,Bahubal,3 Bedroom,,1000,4,3,73.33333333
Plot  Area,Ready To Move,Abhaynagar,4 Bedroom,,11890,4,3,466.6666667
Super built-up  Area,Ready To Move,Babuganj,2 BHK,Ocavees,1250,2,1,50.66666667
Super built-up  Area,Ready To Move,Ashuganj,3 BHK,Brnia G,1400,2,1,63.33333333
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,,1670,2,3,38
Super built-up  Area,Ready To Move,Dupchanchia,3 BHK,SoystAm,1750,3,2,66.66666667
Super built-up  Area,Ready To Move,Bishwamvarpur,2 BHK,Prlla C,1404,2,1,47.33333333
Super built-up  Area,Ready To Move,Bagerhat Sadar,3 BHK,SMaxyay,1715,2,2,63.33333333
Built-up  Area,18-Apr,Aditmari,1 BHK,Prarkun,630,1,1,23.1
Super built-up  Area,Ready To Move,Bajitpur,3 BHK,SosicCl,1752.12,3,2,90
Super built-up  Area,Ready To Move,Belaichhari,3 BHK,,1650,3,2,52
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1295,2,1,36.98
Plot  Area,Ready To Move,Jhalakathi Sadar,3 Bedroom,Bancyri,1800,3,2,168
Super built-up  Area,18-Sep,Adarsha Sadar,2 BHK,PualeSk,1346,2,1,49.35333333
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,,1200,4,2,133.3333333
Super built-up  Area,Ready To Move,Bakshiganj,2 BHK,ElavuHo,1150,2,2,36.66666667
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,3309,4,3,216.6666667
Super built-up  Area,18-May,Austagram,3 BHK,SunceEs,1190,2,2,20.23333333
Super built-up  Area,Ready To Move,Kathalia,3 BHK,DSutyng,1620,3,2,65.33333333
Super built-up  Area,18-Apr,Amtali,2 BHK,,950,2,1,31.30666667
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9,3,240
Super built-up  Area,Ready To Move,Bajitpur,3 BHK,SrEndPo,2450,3,0,80
Super built-up  Area,18-May,Atrai,3 BHK,Sryalan,1220,2,1,23.48666667
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850,2,1,20
Built-up  Area,Ready To Move,Debidwar,2 BHK,,1020,2,2,42
Built-up  Area,Ready To Move,Cumilla Sadar(South),2 BHK,,1100,2,2,33.33333333
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2,2,84
Super built-up  Area,18-Dec,Alikadam,3 BHK,Mahosya,1760,2,2,86.66666667
Super built-up  Area,Ready To Move,Dhamoirhat,3 BHK,,1800,3,3,73.33333333
Super built-up  Area,Ready To Move,Barguna Sadar,2 BHK,,1070,2,1,36
Plot  Area,Ready To Move,Durgapur,4 Bedroom,,1500,4,2,146.6666667
Plot  Area,Ready To Move,Birol,2 Bedroom,,1440,2,0,63.33333333
Super built-up  Area,Ready To Move,Durgapur,2 BHK,Prowsi ,900,2,1,26.66666667
Built-up  Area,Ready To Move,Iti Employees Layout,4 BHK,,1200,4,1,153.3333333
Super built-up  Area,18-May,Abhaynagar,2 BHK,SMuilan,1130,2,1,28.10666667
Super built-up  Area,Ready To Move,Bamna,2 BHK,Proodt ,1320,2,1,110
Super built-up  Area,19-Jun,Kishoreganj Sadar,2 BHK,,1270,2,1,65.33333333
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200,2,1,41.33333333
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,,4800,4,,156.6666667
Super built-up  Area,Ready To Move,Ns Palya,2 BHK,,1200,2,1,49.33333333
Super built-up  Area,Ready To Move,Birampur,2 BHK,Prldsri,929,2,0,33.44666667
Built-up  Area,Ready To Move,Rmv 2Nd Stage,4 BHK,LiaveEn,1150,4,2,173.3333333
Plot  Area,Ready To Move,Companiganj,4 Bedroom,,1125,4,3,120
Plot  Area,Ready To Move,Hatibandha,5 Bedroom,,500,3,2,43.33333333
Plot  Area,Ready To Move,3Rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5,2,126.6666667
Super built-up  Area,Ready To Move,Kudlu Main Road,3 BHK,,1464,3,2,37.33333333
Super built-up  Area,Ready To Move,Ashuganj,4 BHK,,3600,4,3,266.6666667
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,,2000,4,2,66
Super built-up  Area,Ready To Move,Cumilla Sadar(South),2 BHK,,1208,2,1,32.66666667
Super built-up  Area,Ready To Move,Chouddagram,2 BHK,Vrensn ,1130,2,2,40
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753,3,2,80
Super built-up  Area,Ready To Move,Bandar,5 BHK,Brica E,4500,7,3,224.6666667
Plot  Area,Ready To Move,Koyra,3 Bedroom,,600,3,2,38.66666667
Super built-up  Area,22-Jun,Bagerhat Sadar,2 BHK,GoAirej,1196,2,2,62.94666667
Built-up  Area,Ready To Move,Chandanaish,2 BHK,Prenty ,1150,3,3,35
Super built-up  Area,18-Apr,Aditmari,2 BHK,Prarkun,1128,2,1,42
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,1000,2,1,35.33333333
Super built-up  Area,Ready To Move,Laxmichhari,2 BHK,Apows M,1035,2,1,30
Built-up  Area,Ready To Move,Harirampur,2 BHK,,950,2,1,21.33333333
Super built-up  Area,Ready To Move,Betagi,3 BHK,Prityel,1075,2,1,24
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,SVineun,1040,2,1,32.33333333
Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,,720,2,1,30
Super built-up  Area,Ready To Move,Fakirhat,3 BHK,Soiewre,1511,3,1,63.33333333
Built-up  Area,Ready To Move,Silk Board,3 BHK,,1300,3,1,38.66666667
Super built-up  Area,19-Dec,Bagerhat Sadar,3 BHK,Caycend,1545,3,1,45.83333333
Built-up  Area,Ready To Move,Mirsharai,1 BHK,,375,2,0,17.33333333
Super built-up  Area,Ready To Move,Birol,2 BHK,,1062,2,3,25.33333333
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,,1115,2,1,26.66666667
Super built-up  Area,Ready To Move,Bancharampur,2 BHK,DSvvyx ,1000,2,1,23.33333333
Super built-up  Area,17-May,Domar,2 BHK,Prrtht ,883,2,1,30
Super built-up  Area,19-Apr,Adarsha Sadar,2 BHK,Brareio,1195,2,1,46.66666667
Plot  Area,Ready To Move,Bhel Layout,4 Bedroom,,1200,3,1,110
Built-up  Area,Ready To Move,Medahalli,1 Bedroom,,700,1,0,27.33333333
Super built-up  Area,Ready To Move,Bishwamvarpur,2 BHK,Prlla C,1246,2,1,44.66666667
Plot  Area,Ready To Move,Barura,4 Bedroom,,660,4,2,60
Plot  Area,Ready To Move,Dhamrai,4 Bedroom,,8500,4,2,96.66666667
Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,,1600,4,1,53.33333333
Super built-up  Area,18-Dec,Atpara,4 BHK,SNnia E,2805,5,3,102.6666667
Super built-up  Area,Ready To Move,Baghaichari,3 BHK,,1584,3,,43.33333333
Plot  Area,Ready To Move,Kaharole,4 Bedroom,,3000,5,1,183.3333333
Built-up  Area,Ready To Move,Bhola Sadar,3 BHK,,1175,2,2,32
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,,1595,3,2,76.66666667
Super built-up  Area,Ready To Move,Vhbcs Layout,2 BHK,OlarkLa,1353,2,2,73.33333333
Super built-up  Area,18-Apr,Aditmari,3 BHK,Prarkun,1599,3,2,83.33333333
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,SuMTBPr,1150,2,1,46.66666667
Super built-up  Area,17-Dec,Bandarban Sadar,4 BHK,Lecco C,5230,6,1,310
Super built-up  Area,Ready To Move,Badalgachi,2 BHK,Jahidva,1155,2,2,28.49333333
Built-up  Area,Ready To Move,Ittamadu,1 BHK,,1200,2,0,56.66666667
Super built-up  Area,18-Jul,Atrai,2 BHK,,1000,2,1,16.66666667
Super built-up  Area,Ready To Move,Ajmiriganj,4 BHK,,3000,4,,80
Built-up  Area,Ready To Move,Nikli,3 BHK,PuoodSk,1867,3,1,106.6666667
Super built-up  Area,18-Jun,Bhaluka,2 BHK,ViistLa,1251,2,1,31.33333333
Super built-up  Area,18-Apr,Gattahalli,2 BHK,Arano M,1028,2,1,30.33333333
Super built-up  Area,Ready To Move,Gowainghat,2 BHK,Amngsag,1222,2,2,30
Super built-up  Area,Ready To Move,Araihazar,3 BHK,SNity S,1170,2,1,44
Super built-up  Area,Ready To Move,Alikadam,3 BHK,Kacesh ,2400,4,1,163.3333333
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,,1385,2,2,32.32
Super built-up  Area,Ready To Move,Belabo,2 BHK,SrisePo,1372,2,1,45.33333333
Super built-up  Area,Ready To Move,Digholia,3 BHK,Bilya A,1282,2,2,32.66666667
Super built-up  Area,Ready To Move,Katiadi,9 BHK,Amsomun,5000,9,3,140
Built-up  Area,Ready To Move,7Th Block Jayanagar,5 Bedroom,,3000,3,1,352
Super built-up  Area,Ready To Move,Agailjhara,2 BHK,Shdhia ,1135,2,1,26.48666667
Built-up  Area,20-Dec,Abhaynagar,3 BHK,,1768,3,2,67.33333333
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Foconna,1325,2,1,60
Super built-up  Area,18-Apr,Aditmari,3 BHK,Prarkun,1599,3,2,66
Plot  Area,18-Mar,Abhaynagar,3 Bedroom,,1500,3,1,41.3
Plot  Area,Ready To Move,2Nd Phase Jp Nagar,3 Bedroom,,2610,3,0,332.6666667
Super built-up  Area,Ready To Move,Alfadanga,2 BHK,,1286,2,2,42
Built-up  Area,Ready To Move,Goshairhat,5 BHK,,2845,5,1,93.33333333
Super built-up  Area,Ready To Move,K G Colony,3 BHK,Aincy R,1600,2,,33.33333333
Super built-up  Area,18-Sep,Ashasuni,2 BHK,Shxorm ,1195 - 1440,2,0,42.51333333
Super built-up  Area,Ready To Move,Alikadam,3 BHK,Brium C,3450,5,2,173.3333333
Super built-up  Area,18-Apr,Satkania,2 BHK,Sadhii ,1102,2,2,35.78
Super built-up  Area,Ready To Move,Laxmichhari,2 BHK,Sahanra,1350,2,2,36
Super built-up  Area,Ready To Move,Bakerganj,3 BHK,,1200,2,2,28
Plot  Area,Ready To Move,Banaripara,6 Bedroom,,1300,6,0,96.66666667
Plot  Area,Ready To Move,Herohalli,2 Bedroom,,1800,1,1,53.33333333
Built-up  Area,Ready To Move,Kamarkhand,2 BHK,,950,2,1,26.66666667
Super built-up  Area,21-Dec,Agailjhara,1 BHK,PrarePa,525,1,1,18.16666667
Built-up  Area,Ready To Move,Bogura Sadar,2 BHK,Jae 2hu,656,2,1,16.66666667
Plot  Area,Ready To Move,Amtali,4 Bedroom,,1780,4,3,116.6666667
Super built-up  Area,Ready To Move,3Rd Block Hrbr Layout,2 BHK,Icncy R,1056,2,1,53.33333333
Super built-up  Area,21-Feb,Araihazar,1 BHK,Hiatei ,595,1,1,22.21333333
Built-up  Area,Ready To Move,Ittamadu,2 BHK,,1080,2,2,33.33333333
Super built-up  Area,19-Dec,Ashuganj,3 BHK,Puarero,2225,3,1,106.6666667
Super built-up  Area,18-Aug,Charfesson,2 BHK,DSoodil,1126,2,1,18.76666667
Super built-up  Area,Ready To Move,Bagatipara,3 BHK,GaicaVe,1490,3,1,56
Plot  Area,Ready To Move,Ghatail,4 Bedroom,,2000,4,1,200
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,PuineSu,1550,3,3,66.66666667
Super built-up  Area,Ready To Move,,3 BHK,Grare S,1600,3,2,57.33333333
Built-up  Area,Ready To Move,Ashwini Layout,2 BHK,,1160,2,1,36.66666667
Built-up  Area,Ready To Move,Abhaynagar,4 Bedroom,PrOakSi,4144,4,3,210
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,Supleon,2100,3,2,83.33333333
Super built-up  Area,Ready To Move,Bishwamvarpur,2 BHK,Prlla C,1404,2,1,46.2
Plot  Area,Ready To Move,Adarsha Sadar,4 Bedroom,LGestbo,2230,4,3,150
Super built-up  Area,Ready To Move,Marathalli Bridge,3 BHK,,1544,3,,80
Super built-up  Area,18-May,Dhamrai,3 BHK,Pridsi ,1305,2,1,39.13333333
Super built-up  Area,Ready To Move,Amtali,2 BHK,Aahts H,1230,2,2,53.33333333
Plot  Area,Ready To Move,T.C Palya,2 Bedroom,,1200,2,0,43.33333333
Super built-up  Area,Ready To Move,Bajitpur,3 BHK,,1460,3,1,48.66666667
Plot  Area,Immediate Possession,Adarsha Sadar,,Asiss B,1200 - 2400,,,22.79
Built-up  Area,Ready To Move,Bhangura,2 BHK,,967,2,3,30
Built-up  Area,Ready To Move,Byatarayanapura,1 Bedroom,,540,1,1,24
Super built-up  Area,19-Dec,Bakshiganj,1 BHK,Kolisl ,715,1,2,30.66666667
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,Toindls,2500,3,2,208.6666667
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1578,3,1,120
Super built-up  Area,Ready To Move,Bhairab,2 BHK,,1020,2,1,32.63333333
Super built-up  Area,Ready To Move,Begumganj,2 BHK,i1odsne,1020,2,1,26.66666667
Super built-up  Area,Ready To Move,Bamna,2 BHK,Ansna K,1253,2,1,68
Super built-up  Area,Ready To Move,Jcr Layout,2 BHK,ARnamru,1180,2,2,28
Super built-up  Area,Ready To Move,Kuliarchar,2 BHK,Veyalin,961,2,2,25.33333333
Built-up  Area,Ready To Move,Borhanuddin,3 BHK,,1419,3,3,50
Super built-up  Area,Ready To Move,Bajitpur,3 BHK,SomonCi,1709,3,2,100
Plot  Area,Ready To Move,Papareddipalya,2 Bedroom,,1600,2,0,76.66666667
Super built-up  Area,18-Jul,Venkatapura,1 BHK,,416,1,1,12.33333333
Carpet  Area,Ready To Move,Gaibandha Sadar,2 BHK,,1100,2,2,65.33333333
Super built-up  Area,Ready To Move,Belabo,3 BHK,,1430,2,1,43.33333333
Super built-up  Area,Ready To Move,Sneha Colony,2 BHK,Daill S,1260,2,2,30
Built-up  Area,Ready To Move,Rmv Extension,3 BHK,DSureSi,1630,3,2,56.66666667
Super built-up  Area,19-May,Adarsha Sadar,3 BHK,Soini T,1249,3,2,29.80666667
Super built-up  Area,Ready To Move,Chunarughat,3 BHK,MancyRe,1450,2,3,56.66666667
Super built-up  Area,17-Nov,Kanaighat,3 BHK,Prasa W,2791,3,1,148.6666667
Super built-up  Area,Ready To Move,Hosapalya,1 BHK,,600,1,0,60
Built-up  Area,Ready To Move,Ashwini Layout,1 BHK,Kaantth,834,1,1,40
Plot  Area,Ready To Move,Doddagubbi,3 Bedroom,,1125,4,1,46.66666667
Super built-up  Area,Ready To Move,Gowainghat,3 BHK,,2060,3,2,93.33333333
Super built-up  Area,19-Jan,Barkal,7 BHK,,12000,7,3,1466.666667
Built-up  Area,Ready To Move,Bhangura,2 BHK,Drente ,891,2,1,16.66666667
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1133,2,1,32.71333333
Built-up  Area,Ready To Move,Betagi,3 BHK,Prityel,1075,2,1,24.66666667
Super built-up  Area,18-May,Sector 6 Hsr Layout,4 BHK,,3000,5,2,173.3333333
Plot  Area,Ready To Move,Bheramara,4 Bedroom,,2440,5,2,283.3333333
Built-up  Area,Ready To Move,Birol,2 BHK,,1200,2,2,36.66666667
Super built-up  Area,Ready To Move,Ajmiriganj,2 BHK,,1075,2,2,30.53333333
